hash,filename,testcase,type
072c125c284c3b380fc322690b0d59d117f816a7,JwtHmacKeyTest.java,testEqualities,added
072c125c284c3b380fc322690b0d59d117f816a7,JwtHmacKeyTest.java,testDifferentKeyTypesEquality_fails,added
d44a26fdca9f71abcf23191eabed3d87cda62900,AesEaxJceTest.java,testRandomNonce,added
d44a26fdca9f71abcf23191eabed3d87cda62900,AesEaxJceTest.java,testEncryptDecryptLongMessage,added
5149c3dd2be091a6879725efa368365f844547c7,JwtHmacParametersTest.java,testEqualsTwoInstances,added
5149c3dd2be091a6879725efa368365f844547c7,JwtHmacParametersTest.java,testEqualsHashCodeDependsOnKeySize,added
5149c3dd2be091a6879725efa368365f844547c7,JwtHmacParametersTest.java,testEqualsHashCodeDependsOnAlgorithm,added
5149c3dd2be091a6879725efa368365f844547c7,JwtHmacParametersTest.java,testEqualsHashCodeDependsOnKidStrategy,added
059ae76e79dc04778552f878b108069d5244394e,Ed25519ProtoSerializationTest.java,testParsePrivateKey_noAccess_throws,added
059ae76e79dc04778552f878b108069d5244394e,Ed25519ProtoSerializationTest.java,testSerializePrivateKey_noAccess_throws,added
3314b43d97fa7ff056b092d17233522d754fb9bc,KeysetHandleTest.java,testStatusNotSet_getPrimitive_throws,added
e5ec4283a8948f5c0718c5d71494c593d0e9270d,AesSivProtoSerializationTest.java,testParseKeys_noAccess_throws,added
e5ec4283a8948f5c0718c5d71494c593d0e9270d,AesSivProtoSerializationTest.java,testSerializeKeys_noAccess_throws,added
d6665cde633c70c18285734fab7490e558684583,AesSivKeyTest.java,testEqualities,added
d6665cde633c70c18285734fab7490e558684583,AesSivKeyTest.java,testDifferentKeyTypesEquality_fails,added
4a59bf959bb784e5bd4cc5c1fa09bec9f4ed9b25,AesSivParametersTest.java,testEqualsAndEqualHashCode,added
4a59bf959bb784e5bd4cc5c1fa09bec9f4ed9b25,AesSivParametersTest.java,testNotEqualandNotEqualHashCode,added
2a26e806dcbc35722395ab6a98d55b72f148458f,Ed25519PrivateKeyTest.java,testEqualities,added
2a26e806dcbc35722395ab6a98d55b72f148458f,Ed25519PrivateKeyTest.java,testDifferentKeyTypesEquality_fails,added
249a191efba5c6d54c4bc92578b96fb3e38fa793,RsaSsaPkcs1PublicKeyTest.java,testEqualities,added
c24631e71bc514d20ba2dde674df59100d0cbcb3,Ed25519PublicKeyTest.java,testEqualities,added
